5|抽象的な考えと概念
71E545|くじ引きによって、レビ人に町を配分するヨシュア、エルアザル、イスラエルの部族の族長たち(ヨシュア記 21)
71E546|カナン攻略後に退散させられる東部族 (ヨシュア記 22)
71E5461|ルベン族、ガド族、マナセの半部族を本拠地へと送り出し、律法を守り続けるように訓戒するヨシュア
71E5462|ヨルダン河畔のギレアドで、ルベン族、ガド族、マナセの半部族は大きな祭壇を築く
71E54621|エルアザルの息子ピネハスに率いられた、懲罰を目的とした遠征隊は、ギレアドへ来て、神への反逆を非難する
71E54622|合意に達する: ヨルダン川河畔に建てられた祭壇は、証としての祭壇にすぎない
71E547|ヨシュアの告別の言葉; ヨシュアとエルアザルの死 (ヨシュア記 23-24)
71E5471|非常に年老いたヨシュアは、最後の訓戒を聞かせるために、人々を呼び集める
71E54711|再び契約をかわすヨシュア; 大きな記念碑が立てられる
71E5472|ヨシュアの死と埋葬
71E5473|シケムに埋葬されるヨシュアの遺骨
71E5474|大祭司エルアザルの死と埋葬
71EE1142|燃える柴 〜 モーセの召命 - EE - 燃える柴の中の聖母マリア
71EE11421|履物を脱ぐモーセ - EE - 燃える柴の中の聖母マリア
71EE11422|燃える柴の前に跪き、顔を隠して神の声を聞くモーセ - EE - 燃える柴の中の聖母マリア
71EE11423|奇跡 〜 モーセの召命 - EE - 燃える柴の中の聖母マリア
71EE114231|杖が蛇に変わる奇跡; モーセが蛇から逃げているように描かれる場合がある - EE - 燃える柴の中の聖母マリア
71EE114232|癩病を患った手の奇跡 〜 モーセと燃える柴 - EE - 燃える柴の中の聖母マリア
71EE114233|水が血に変わる奇跡 〜 燃える柴 - EE - 燃える柴の中の聖母マリア
71EE114234|杖を授かるモーセ - EE - 燃える柴の中の聖母マリア
71F|士師時代
71F1|士師記 1-5
71F11|ヨシュアの死からオトニエルまで (士師記 1-2)
71F111|士師時代の最初に、カナン人を攻撃するのに指名されるユダ
71F1111|カナン人とペリジ人を撃ち破るユダとシメオンの部族
71F1112|捕まるアドニ・ベゼク; 彼の手足の親指が切り落とされる
71F112|デビルを占領したオトニエルは、カレブの娘アクサを妻として迎える
71F1121|カレブに耕地と湧水を請うアクサとオトニエル (ロバから降りるアクサ)
71F113|ボキムで、主の御使いによって叱責されるイスラエル人
71F12|オトニエルの時代 (士師記 3:9-11)
71F121|メソポタニア王のクシャン・リシュアタイムからイスラエル人を解放するオトニエル
71F13|エフドの時代; エフドとエグロンの物語 (士師記 3:15-30)
71F131|再び悪事を働き、モアブの王エグロンに占領されるイスラエル人
71F132|イスラエル人に託された貢ぎ物をエグロンに持っていくエフド
71F133|従臣たちが去り、2人だけとなるエフドとエグロン
71F134|短剣でエグロンの腹を刺し、彼を殺す左利きのエフド
71F135|エグロンを刺した後、部屋を出て戸に鍵をかけるエフド
71F136|鍵のかかった戸の外で従臣たちが待っている間に逃亡するエフド
71F137|遺体で発見されるエグロン
71F138|イスラエル人に、戦うように言うエフド
71F1381|ヨルダン川の渡り場の近くで、モアブ人はエフドとその軍によって打破される
71F14|シャムガルの時代 (士師記 3:31)
71F141|牛追いの棒で六百人のペリシテ人を殺すシャムガル
71F15|デボラとバラクの時代 (士師記 4-5)
71F151|シセラとその軍を攻撃するようバラクに頼み込む、(椰子の木の下に座った)デボラ
71F152|バラクの要請で、タボル山の戦いに参加するデボラ
71F153|九百両の鉄の戦車を動員したシセラ軍が敗北する
71F154|ヤエルとシセラの物語
71F1541|ヤエルの天幕に逃げ込むシセラ; 彼を迎えに出てくるヤエル
71F1542|シセラが水を求めると、ヤエルは彼にミルクを与える
71F1543|天幕の釘と槌を手にするヤエル
71F1544|眠っているシセラのこめかみに釘を打って彼を殺すヤエル
71F1545|ヤエルの天幕に来るバラク; シセラの遺骸を彼に見せるヤエル
71F155|デボラ(とバラク)の凱歌
71F2|士師記 6-12
71F21|ギデオンの時代 〜 士師記
71F211|ミディアン人に迫害されたイスラエル人は、洞穴での生活を強いられる 〜 ギデオンの時代 (士師記 6:1-10)
71F212|ギデオンと主の御使い (士師記 6:11-24)
71F2121|日頃から小麦を脱穀しているギデオンのもとにあらわれる主の御使い
71F21211|主の御使いが樫の木の下に座り、日頃から小麦を脱穀しているギデオンのもとにあらわれる
71F2122|ギデオンへの、主の御使いの指令: ミディアン人からイスラエルを救済する
71F2123|自身が召された際(小麦を脱穀していた時)、主からのしるしを求めるギデオン
71F21231|しるしを求めたギデオンは食料を用意し、それを籠に入れて御使いに差し出す
71F21232|御使いの要求に応じて、ギデオンは岩の上に食料を置き、肉汁を注ぐ
71F21233|主の御使いが杖で食料に触れると、岩から火が出る
71F21234|ギデオンのもとから去る主の御使い
71F2124|主の御使いによる召命の後、恐れるが、安心させられるギデオン
71F21241|主のための祭壇を築くギデオン
71F213|ギデオンによるバアルの祭壇の破壊 (士師記 6:25-32)
71F2131|自身の父の領地に建てられたバアルの祭壇を壊すように、主から命令されるギデオン
71F2132|バアルの祭壇を壊すギデオンと十人の従者たち; その近くの木立を切り倒し、岩の上に神の祭壇を築く; 若い牡牛を連れて行き、犠牲として捧げる
71F2133|壊された祭壇を見る町の人々 (ギデオンの物語)
71F2134|バアルの祭壇を破壊したため、ギデオンの父ヨアシュと町の人々はギデオンを殺したいと考える
71F214|ミディアン人に対する襲撃のために人々を集めるギデオン (士師記 6:33-40)
71F2141|イズレエルの谷に侵略するミディアン人
71F2142|ラッパを吹き、使者を遣わし、ミディアン人に対する襲撃のために人々を集めるギデオン
71F2143|ミディアン人に対する襲撃の前に、羊毛を用いて、しるしを見せて欲しいと主に2回求めるギデオン
71F21431|露は羊毛の上にのみ置かれ、地面は乾いている (ギデオンへの最初のしるし)
71F214311|羊毛を押さえて、鉢に水を絞り出すギデオン
71F21432|羊毛の上だけが乾いていて、地面は露で湿っている (ギデオンへの2回目のしるし)
71F21433|ギデオンの羊毛 (単体)
71F215|ミディアン人に対する襲撃の前に、選抜されるギデオンの配下たち (士師記 7:1-8)
71F2151|ミディアン人に対する襲撃に向けて軍勢を選抜するために、恐れる者を帰らせて、残った一万人を水辺へ連れていく
71F2152|水を手ですくって飲んだ者と、跪いて水を飲んだ者が分けられる 〜 ギデオンの配下の選抜
71F2153|食料とラッパを受け取る、ギデオン軍の三百人の兵士たち
71F216|ミディアン人を攻撃するギデオンとその軍勢 (士師記 7:9-25)
71F2161|夜間に、従者プラを連れてミディアン陣営へ乗り込むギデオン
71F2162|ミディアン人が、大麦パンの夢を語るのを耳にするギデオン
71F2163|軍勢を3つの小隊に分けるギデオン
71F2164|ミディアン人への攻撃: ギデオンと配下たちはラッパを吹き、水甕を壊して灯りを持っておく
71F21641|ミディアン人の戦い
71F2165|ギデオンの配下たちによるミディアン人の追撃
71F2166|エフライム人によって水が絶たれるミディアン人
71F2167|エフライム人によって捕らえられ、殺されるオレブとゼエブ; 彼らの首はギデオンのもとへ持っていかれる
71F21671|オレブの岩で殺されるオレブ
71F21672|ゼエブの葡萄絞り器で殺されるゼエブ
71F217|ゼバとツァルムナの追撃; ギデオンの晩年 (士師記 8)
71F2171|不満を抱えたエフライム人を宥めるギデオン
71F2172|空腹の兵士たちへ与えるパンを要求するギデオン
71F21721|スコトの人々にパンを断られるギデオン
71F21722|ペヌエルの人々にパンを断られるギデオン
71F2173|ミディアンの二人の王、ゼバとツァルムナを追撃し、彼らを捕虜にするギデオン
71F2174|スコトとペヌエルを罰するギデオン
71F21741|戦場から戻ったギデオンは、スコトの人々の中から一人の青年を捕らえて尋問する
71F21742|茨ととげで罰せられるスコトの長老たち
71F21743|ペヌエルの塔が倒され、住人は殺される
71F2175|ゼバとツァルムナを殺すギデオン
71F21751|ラクダの首にかかっていた飾りを取り去るギデオン
71F2176|イスラエルの統治を拒否するギデオン
71F2177|殺されたミディアン人の耳輪を求め、与えられるギデオン
71F21771|金の耳輪とその他の宝石を用いてエフォドを作り、オフラに置くギデオン
71F2178|ギデオンの死と埋葬
71F218|シケムの王 アビメレクの物語 (士師記 9)
71F2181|シケムの家族を、自身の兄弟であるギデオンの70人の息子よりも、自分を支持するように促すアビメレク
71F2182|母方のおじたちから支援を受けるアビメレク; 彼らはアビメレクに銀70を与える
71F2183|雇い人とともに、ひとつの石の上で兄弟を殺すアビメレク; 身を隠していたヨタムは生き延びる
71F2184|シケムの王となるアビメレク
71F2185|ゲリジム山の頂上で、ヨタムは王を探す木々の寓話を語る
71F2186|シケム人とアビメレクの不和
71F21861|旅人から金品を奪い取るシケム人
