5|Idées et Concepts Abstraits
71D16351|Asnat et ses gardes sont attaqués par les hommes de Dan et Gad, qui s'étaient joints à la conspiration du fils du Pharaon; Asnat parvient à s'échapper dans son char avec Benjamin
71D16352|Benjamin frappe d'une pierre le fils du Pharaon
71D16353|Siméon et Lévi apportent le fils blessé devant le Pharaon
71D164|Joseph comme surintendant du Pharaon
71D1641|Joseph prend des dispositions pour la famine et emmagasine du grain
71D1642|la famine survient en Égypte
71D16421|les Égyptiens supplient qu'on leur donne du pain
71D164211|Joseph ouvre les magasins et vend du grain
71D17|premier voyage des frères de Joseph en Égypte (Genèse 42)
71D171|Jacob apprend qu'on vend du grain en Égypte
71D1711|Joseph jette du blé dans la rivière
71D1712|Jacob envoie ses dix fils en Égypte pour y acheter du grain et garde Benjamin, le cadet, chez lui
71D172|les dix frères de Joseph en route vers l'Égypte
71D173|admis en présence de Joseph, les frères se prosternent
71D1731|Joseph accuse ses frères d'être des espions et les jette en prison
71D174|les frères de Joseph sont relâchés de prison
71D175|Joseph annonce à ses frères qu'il gardera en otage l'un d'eux en prison, et envoie les autres à la maison afin qu'ils lui ramènent Benjamin
71D1751|les frères se souvenant du mal qu'ils ont fait à Joseph se repentent; celui-ci entend la conversation et s'éloigne en pleurant
71D1752|Joseph revient, choisit Siméon et le fait ligoter
71D176|les frères reçoivent du grain; Joseph ordonne de mettre en cachette de l'argent dans leurs sacs
71D177|les frères de Joseph chargent leurs ânes et quittent l'Égypte
71D1771|à leur campement l'un des frères de Joseph trouve l'argent dans son sac
71D178|à leur retour au pays de Canaan chez Jacob, les frères de Joseph vident leurs sacs et chacun d'eux y trouve une bourse avec de l'argent
71D1781|Jacob s'oppose à ce que Benjamin soit emmené en Égypte malgré les exhortations de Ruben
71D18|deuxième voyage des frères de Joseph en Égypte (Genèse 43)
71D181|Juda persuade Jacob, qui désolé consent au départ de Benjamin
71D1811|les adieux de Jacob et de Benjamin
71D182|les frères de Joseph en route vers l'Égypte avec Benjamin et des présents pour Joseph
71D183|Joseph reçoit ses frères et Benjamin
71D1831|Joseph fait préparer dans sa maison un banquet pour ses frères
71D1832|à l'entrée de la maison de Joseph ses frères parlent avec l'intendant; Siméon leur est ramené
71D1833|préparatifs du banquet dans la maison de Joseph
71D18331|les frères de Joseph lavent leurs pieds
71D184|quand Joseph rentre à la maison il accueille ses frères; ceux-ci se prosternent devant lui et lui offrent les présents
71D1841|la vue de Benjamin met Joseph au bord des larmes; il se retire de la pièce
71D18411|Joseph se lavant le visage
71D185|le banquet à la maison de Joseph : les frères sont surpris d'être assis selon leur âge; Benjamin est favorisé avec des portions supplémentaires de nourriture
71D1851|Joseph tenant sa coupe divinatoire révèle le nom et l'âge de chacun de ses frères
71D19|la coupe manquante ~ histoire de Joseph (Genèse 44-45)
71D191|Joseph fait mettre sa coupe d'argent dans le sac de Benjamin
71D192|les frères de Joseph s'apprêtent à partir
71D1921|les serviteurs de Joseph à la poursuite de ses frères
71D1922|la coupe est trouvée dans le sac de Benjamin
71D1923|les frères de Joseph retournent en ville
71D193|les frères devant Joseph : Juda plaide pour Benjamin et demande à être retenu comme esclave à sa place
71D1931|Joseph révèle son identité et en pleurant accorde à ses frères son pardon pour leur méfait du passé
71D194|le Pharaon envoie les frères de Joseph avec des chariots chercher leurs familles et Jacob
71D195|les frères de Joseph avec des chariots et des ânes chargés de grain retournent chez Jacob
71D196|Jacob apprend la condition élevée de Joseph
71D2|histoire de Joseph (2e part.)
71D21|Jacob et sa famille vont en Égypte (Genèse 46:1-27)
71D211|Jacob offre un sacrifice à Bersabée
71D212|la vision de Jacob : Dieu lui apparaît la nuit et sanctionne son voyage en Égypte
71D213|Jacob avec sa famille, son cheptel et ses biens se mettent en route pour l'Égypte avec les chariots
71D22|Jacob et sa famille en Égypte (Genèse 46:28-34, 47:1-12)
71D221|Juda est envoyé en avant pour annoncer la venue de Jacob
71D2211|Joseph va à Goshèn à la rencontre de son père
71D222|la rencontre de Jacob et de Joseph à Goshèn
71D223|Joseph et cinq de ses frères annoncent au Pharaon la venue de Jacob
71D224|Jacob est présenté au Pharaon
71D225|Jacob et ses fils s'établissent au pays de Goshèn
71D226|Joseph fournit de la nourriture à son père, ses frères et leurs familles
71D23|la famine en Égypte (suite) (Genèse 47:13-26)
71D231|les Égyptiens réclament du pain; ils vendent leur bétail pour du grain
71D232|les Égyptiens vendent leurs terres pour acheter du grain; tout le pays devient la propriété du Pharaon, sauf la terre appartenant au clergé
71D2321|Joseph décrète qu'un cinquième de la production du sol doit appartenir au roi
71D24|Jacob au déclin de sa vie (Genèse 47:27, 49:32)
71D241|le vieux Jacob fait venir Joseph et lui demande de jurer de le faire enterrer au pays de Canaan
71D242|Joseph amène ses deux fils, Manassé et Éphraïm, auprès de Jacob alité
71D2421|Jacob les bras croisés bénit Manassé et Éphraïm; il se peut que Joseph essaie de lui décroiser les bras, ou bien qu'il exprime (avec Asnat) sa désapprobation
71D24211|Jacob bénit avec les bras non croisés Manassé et Éphraïm
71D2422|Jacob bénit Joseph
71D243|Jacob bénit ses fils
71D2431|Jacob bénit Juda : 'Juda est un lionceau'
71D24311|le lion de Juda
71D2432|Jacob maudissant Siméon et Lévi
71D25|la mort de Jacob (Genèse 49:33, 50:1-14)
71D251|Joseph ordonne d'embaumer Jacob
71D252|Joseph fait transporter en grande pompe la dépouille de son père au pays de Canaan
71D253|Jacob est enterré dans la grotte de Makpéla
71D254|Joseph et ses frères rentrent en Égypte
71D26|fin de la vie de Joseph (Genèse 50:15-26)
71D261|les frères de Joseph craignant une éventuelle vengeance de Joseph implorent son pardon
71D262|la mort de Joseph
71E|Exode, Lévitique, Nombres, Deutéronome, Josué : de l'oppression du peuple d'Israël en Égypte à son établissement au pays de Canaan
71E1|le livre de l'Exode : histoire de Moïse et d'Aaron
71E11|Exode (1ière part.) : événements précédant et préparant le départ d'Égypte du peuple d'Israël
71E111|l'oppression du peuple juif en Égypte (Exode 1)
71E1111|les descendants des fils de Jacob se multiplient
71E1112|le Pharaon ordonne le harcèlement du peuple juif
71E1113|les Israélites sont mis aux travaux forcés ~ Exode
71E11131|les Israélites bâtissent les villes de Pitom et de Ramsès
71E11132|les Israélites confectionnent des briques ~ Exode
71E11133|les Israélites travaillent aux champs ~ Exode
71E1114|le Pharaon ordonne à Shiphra et Pua, les deux sages-femmes, de tuer tous les enfants mâles israélites
71E11141|les deux sages-femmes désobéissent aux ordres
71E11142|le Pharaon questionnant les sages-femmes
71E1115|le Pharaon décrète qu'il faut noyer tout fils nouveau-né du peuple juif
71E112|naissance et éducation de Moïse (Exode 2:1-10)
71E1121|le mariage des parents de Moïse
71E1122|naissance de Moïse
71E11221|Yokèbed, la mère de Moïse, le cache pendant trois mois
71E11222|Yokèbed fabrique une arche (ou un panier) de jonc enduit de bitume et y place Moïse
71E1123|Moïse est exposé dans l'arche au bord du Nil; Miriam, la soeur de Moïse, monte la garde
71E11231|Moïse (seul) parmi les roseaux
71E1124|Moïse est découvert : la fille du Pharaon arrive avec ses servantes pour se baigner dans la rivière et aperçoit l'enfant flottant sur l'eau
71E11241|Moïse est retiré de l'eau par les servantes
71E1125|Moïse est, soit montré à la fille du Pharaon, soit entouré de femmes le cajolant
71E11251|Miriam convainc la fille du Pharaon de confier Moïse à une nourrice juive
71E11252|Moïse est confié aux soins de sa mère
71E112521|la mère de Moïse allaitant son enfant
71E1126|lorsque Moïse est suffisamment âgé sa mère l'amène chez la fille du Pharaon et celle-ci l'adopte
71E1127|Moïse est élevé dans le palais du roi
71E11271|Moïse et la couronne du Pharaon : le Pharaon met pour jouer sa couronne sur la tête de Moïse, enfant, qui la jette à terre et la piétine; ou bien Moïse casse la couronne en jouant
71E112711|l'épreuve du feu de Moïse : lorsqu'on lui donne le choix entre deux plats, l'un contenant des charbons ardents, l'autre un anneau de rubis (ou des cerises), Moïse choisit les charbons ardents et les met en bouche
71E11272|Moïse, enfant, parmi les philosophes
71E113|Moïse et son peuple; le fuite au pays de Madiân (Exode 2:11-25)
71E1131|Moïse constate qu'on astreint les Israélites à de lourdes tâches
71E11311|Moïse aperçoit un surveillant égyptien battant un de ses compatriotes
71E11312|Moïse tue le surveillant égyptien
71E113121|Moïse enterre le corps du surveillant égyptien dans le sable
71E11313|alors que Moïse réprimande deux Israélites qui se disputaient, ceux-ci lui rappellent le meurtre de l'Égyptien
71E11314|le Pharaon est informé du meurtre de l'Égyptien
71E11315|Moïse s'enfuit au pays de Madiân
71E1132|Moïse assis près d'un puits rencontre les sept filles de Jéthro, le prêtre de Madiân
71E11321|Moïse chasse les bergers qui voulaient empêcher les filles de Jéthro d'abreuver le troupeau de leur père
71E11322|Moïse abreuve les brebis des filles de Jéthro
71E11323|les sept filles de Jéthro regagnent leur domicile
71E1133|Moïse est accueilli dans la maison de Jéthro
71E1134|mariage de Moïse et de Séphorah
71E11341|naissance de Gershom, fils de Moïse
71E1135|la mort du Pharaon
71E1136|Dieu regarde les fils d'Israël
71E114|la vocation de Moïse (Exodus 3-4)
71E1141|Moïse, menant le troupeau de Jéthro, arrive à Horeb
71E11411|un buisson embrasé attire l'attention de Moïse
71E1142|le buisson ardent ~ vocation de Moïse
71E11421|Moïse retire ses sandales
71E11422|Moïse, agenouillé devant le buisson et cachant son visage, écoute Dieu
71E11423|les miracles ~ la vocation de Moïse
71E114231|le miracle du bâton changé en serpent; il se peut que Moïse soit figuré fuyant le serpent
71E114232|le miracle de la main atteinte de lèpre ~ Moïse et le buisson ardent
71E114233|miracle de l'eau changée en sang ~ le buisson ardent
71E114234|Moïse reçoit un bâton
71E1143|Moïse quittant Jéthro ~ la vocation de Moïse
71E1144|Moïse quitte l'Égypte : il porte son bâton et est accompagné de sa femme et de ses fils montés sur un âne
71E1145|à l'hébergement, Dieu (ou l'ange de Dieu) cherche à tuer Moïse
71E11451|Séphorah apaise Dieu en circoncisant un de ses fils
71E1146|Dieu apparaît à Aaron
71E11461|Aaron vient à la rencontre de Moïse et l'embrasse
71E1147|Moïse et Aaron réunissent tous les anciens des fils d'Israël
71E11471|Aaron parlant aux Israélites
71E11472|Moïse accomplit les miracles sous les yeux du peuple
71E115|Moïse dialoguant avec Dieu (en général)
71E116|Moïse et Aaron affrontent le Pharaon (Exode 5-7:13)
71E1161|le Pharaon ordonne aux contremaîtres de ne plus donner au peuple de la paille pour faire des briques
71E1162|les Israélites se plaignent à Moïse et Aaron (~Pharaon)
71E1163|Moïse instruisant les Israélites
71E1164|Moïse et Aaron devant le Pharaon; Aaron accomplit le miracle du bâton qui se change en serpent
71E11641|tous les magiciens appelés par le roi changent leur bâton en serpent, mais le bâton d'Aaron engloutit les leurs
71E117|les dix fléaux (Exode 7:14 - 11:10, 12:21-30)
71E1171|scènes récurrentes ~ les dix fléaux
71E11711|Moïse et Aaron devant le Pharaon siégeant sur son trône (scène récurrente ~ les dix fléaux
71E11712|Moïse (et Aaron) met(tent) fin à un fléau (scène récurrente ~ les dix fléaux)
71E11713|serviteurs se plaignant auprès du Pharaon (scènes récurrentes ~ les dix fléaux)
71E1172|les dix fléaux (1ière part.)
71E11721|le fléau de l'eau changée en sang : alors que le Pharaon vient au bord du Nil, Aaron frappe l'eau avec son bâton; l'eau se change en sang et tous les poissons meurent
71E11722|le fléau des grenouilles : Aaron étend sa main sur les eaux d'Égypte; des grenouilles sortent et couvrent le pays
71E117221|grenouiles envahissent le palais de Pharaon (Exode 7:26-29 ou 8:1-4)
71E11723|le fléau des poux : Aaron frappe la terre avec son bâton et la poussière se change en poux
71E11724|le fléau des mouches qui remplissent les maisons des Égyptiens
71E11725|le fléau de la peste du bétail : tous les animaux des Égyptiens meurent
71E11726|le fléau des furoncles : Moïse lance en l'air, sous les yeux du Pharaon, une poignée de cendres, qui provoquent des furoncles chez les hommes et les bêtes
71E11727|le fléau de la grêle : Moïse lève son bâton vers les cieux; de la grêle et du feu descendent sur terre
71E11728|le fléau des sauterelles : Moïse tend les mains et des sauterelles s'élèvent qui mangent tout ce qui a survécu à la grêle
71E11729|le fléau des ténèbres : Moïse lève les mains vers le ciel et pendant trois jours des ténèbres opaques s'établissent
71E1173|les dix fléaux (2ième part.)
71E11731|préliminaires au dixième fléau
71E117311|Moïse prédisant la mort des premiers-nés
71E117312|Moïse proclame la Pâque
71E117313|célébration de la première Pâque
71E1173131|les Israélites appliquent avec du sang d'agneau une marque (généralement un tau) sur les montants des portes de leurs maisons
71E1173132|les Israélites mangent l'agneau pascal debout devant une table, avec les hanches ceintes, des sandales aux pieds et un bâton dans les mains, prêts à partir
71E11732|le fléau du premier-né : l'ange destructeur passe par le pays et frappe tout premier-né égyptien tant homme que bête
71E117321|le Pharaon se lamente sur la mort de son fils ~ le dixième fléau
71E118|les Israélites quittent l'Égypte; premier déplacement de Ramsès à Sukkot (Exode 12:31 - 13:16)
71E1181|la nuit le Pharaon fait appeler Moïse et Aaron et les supplie de partir
71E1182|les Égyptiens pressent les Israélites de quitter le pays
71E1183|les Israélites s'apprêtent à partir : ils remplissent leurs pétrins de pâte sans levain, les serrent dans leurs manteaux et les portent sur l'épaule
71E1184|les Égyptiens offrent leurs bijoux et vêtements aux Israélites
71E1185|les Israélites cuisent du pain de la pâte sans levain
71E1186|consécration du premier-né
71E12|Exode (2ième part.) : la marche d'Israël vers le mont Sinaï
71E121|déplacement des Israélites de Sukkot à la mer Rouge (Exode 13:17-20)
71E1211|Moïse prend les ossements de Joseph avec lui
71E1212|la colonne de nuée et la colonne de feu ~ Exode
71E12121|le jour une colonne de nuée (et/ou l'ange de Dieu) montre(nt) le chemin au peuple
71E12122|la nuit une colonne de feu éclaire les Israélites (Exode 14)
71E122|traversée de la mer Rouge
71E1221|le Pharaon est informé de la fuite des Israélites
71E12211|le Pharaon et son armée se mettent à la poursuite des Israélites
71E12212|le peuple d'Israël murmure contre Moïse
71E1222|Moïse lève son bâton et les eaux se séparent (la mer Rouge); l'ange de Dieu et la colonne de nuée se mettent à l'arrière
