0|Art abstrait, non-figuratif
11H(CRISPIN & CRISPINIAN)7|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - apothéose, glorification, triomphe du saint
11H(CRISPIN & CRISPINIAN)8|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - événements ayant lieu après la mort ~ saint
11H(CRISPIN & CRISPINIAN)81|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - découverte, translation des reliques du saint
11H(CRISPIN & CRISPINIAN)82|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - miracles ayant lieu pendant le maniement des reliques du saint
11H(CRISPIN & CRISPINIAN)83|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - actions posthumes, apparitions du saint
11H(CRISPIN & CRISPINIAN)84|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - béatification, canonisation du saint
11H(CRISPIN & CRISPINIAN)9|les frères Crépin et Crépinien, cordonniers et martyrs; attributs possibles : alêne, outils de cordonnier, forme de bottier, soulier - portrait du saint
11H(CROWNED MARTYRS, FOUR)|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre
11H(CROWNED MARTYRS, FOUR)0|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - groupe de saints
11H(CROWNED MARTYRS, FOUR)1|aspects spécifiques ~ les Quatre Martyrs Couronnés
11H(CROWNED MARTYRS, FOUR)11|les Quatre Martyrs Couronnés, patrons des tailleurs de pierre et des sculpteurs
11H(CROWNED MARTYRS, FOUR)119|les Quatre Martyrs Couronnés, patrons des tailleurs de pierre et des sculpteurs - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(CROWNED MARTYRS, FOUR)12|aspects spécifiques ~ les Quatre Martyrs Couronnés - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(CROWNED MARTYRS, FOUR)13|aspects spécifiques ~ les Quatre Martyrs Couronnés - saint comme fondateur d'un Ordre
11H(CROWNED MARTYRS, FOUR)131|aspects spécifiques ~ les Quatre Martyrs Couronnés - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(CROWNED MARTYRS, FOUR)2|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - jeunesse du saint
11H(CROWNED MARTYRS, FOUR)3|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - dévotion personnelle du saint
11H(CROWNED MARTYRS, FOUR)31|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - vocation, conversion du saint
11H(CROWNED MARTYRS, FOUR)32|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - baptême, consécration, prononciation des voeux du saint
11H(CROWNED MARTYRS, FOUR)33|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - renonçant aux biens terrestres, vie ascétique du saint
11H(CROWNED MARTYRS, FOUR)34|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - vision(s), mariage mystique du saint
11H(CROWNED MARTYRS, FOUR)35|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - tentations du saint
11H(CROWNED MARTYRS, FOUR)36|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - pénitence du saint
11H(CROWNED MARTYRS, FOUR)37|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - saint en méditation, en extase
11H(CROWNED MARTYRS, FOUR)4|activités et événements non-miraculeux ~ les Quatre Martyrs Couronnés
11H(CROWNED MARTYRS, FOUR)41|l'empereur Dioclétien visite dans leur atelier les Quatre Martyrs Couronnés, qui refusent de faire une statue d'Esculape (Asclépios)
11H(CROWNED MARTYRS, FOUR)5|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - activités et événement miraculeux ~ saint
11H(CROWNED MARTYRS, FOUR)59|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - stigmatisation du saint
11H(CROWNED MARTYRS, FOUR)6|martyre, souffrance, malheurs, mort des Quatre Martyrs Couronnés
11H(CROWNED MARTYRS, FOUR)61|les Quatre Martyrs Couronnés sont amenés devant l'empereur Dioclétien et refusent d'adorer la statue d'Esculape
11H(CROWNED MARTYRS, FOUR)68|mort des Quatre Martyrs Couronnés
11H(CROWNED MARTYRS, FOUR)681|les Quatre Martyrs Couronnés sont battus à mort avec des fléaux de plomb
11H(CROWNED MARTYRS, FOUR)682|les Quatre Martyrs Couronnés sont enfermés dans des cercueils de plomb et jetés dans l'eau
11H(CROWNED MARTYRS, FOUR)69|les corps des Quatre Martyrs Couronnés sont jetés en pâture aux chiens
11H(CROWNED MARTYRS, FOUR)7|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - apothéose, glorification, triomphe du saint
11H(CROWNED MARTYRS, FOUR)8|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - événements ayant lieu après la mort ~ saint
11H(CROWNED MARTYRS, FOUR)81|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - découverte, translation des reliques du saint
11H(CROWNED MARTYRS, FOUR)82|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - miracles ayant lieu pendant le maniement des reliques du saint
11H(CROWNED MARTYRS, FOUR)83|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - actions posthumes, apparitions du saint
11H(CROWNED MARTYRS, FOUR)84|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - béatification, canonisation du saint
11H(CROWNED MARTYRS, FOUR)9|Quatre Martyrs Couronnés, soldats, sculpteurs, tailleurs de pierre, les 'quattuor coronati'; attributs possibles: couronne, outils de sculpteur, p.ex. ciseau, compas, marteau, équerre - portrait du saint
11H(CYRIACUS)|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache)
11H(CYRIACUS)0|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - groupe de saints
11H(CYRIACUS)1|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - aspects spécifiques ~ saint
11H(CYRIACUS)11|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - saint en tant que patron, protecteur, intercesseur
11H(CYRIACUS)119|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - saint protégeant des fidèles sous son manteau, 'Schützmantel'
11H(CYRIACUS)12|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - saint écrivant, étudiant, enseignant, dictant (p.ex. en tant que Docteur de l'Église)
11H(CYRIACUS)13|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - saint comme fondateur d'un Ordre
11H(CYRIACUS)131|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - saint ~ consécration d'un Ordre, approbation d'une Règle
11H(CYRIACUS)2|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - jeunesse du saint
11H(CYRIACUS)3|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - dévotion personnelle du saint
11H(CYRIACUS)31|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - vocation, conversion du saint
11H(CYRIACUS)32|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - baptême, consécration, prononciation des voeux du saint
11H(CYRIACUS)33|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - renonçant aux biens terrestres, vie ascétique du saint
11H(CYRIACUS)34|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - vision(s), mariage mystique du saint
11H(CYRIACUS)35|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - tentations du saint
11H(CYRIACUS)36|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - pénitence du saint
11H(CYRIACUS)37|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - saint en méditation, en extase
11H(CYRIACUS)4|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - activités et événements non-miraculeux ~ saint
11H(CYRIACUS)5|activités et événements miraculeux ~ St Cyriaque
11H(CYRIACUS)51|St Cyriaque de Rome en tant qu'exorciste : il libère Arthémie, la fille de Dioclétien, du démon qui la tourmentait en lisant dans son livre et en lui entourant le cou de son étole
11H(CYRIACUS)59|activités et événements miraculeux ~ St Cyriaque - stigmatisation du saint
11H(CYRIACUS)6|martyre, souffrance, malheurs, mort de St Cyriaque
11H(CYRIACUS)68|St Cyriaque est décapité à Rome
11H(CYRIACUS)69|martyre, souffrance, malheurs, mort de St Cyriaque - corps du saint malmené
11H(CYRIACUS)7|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - apothéose, glorification, triomphe du saint
11H(CYRIACUS)8|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - événements ayant lieu après la mort ~ saint
11H(CYRIACUS)81|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - découverte, translation des reliques du saint
11H(CYRIACUS)82|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - miracles ayant lieu pendant le maniement des reliques du saint
11H(CYRIACUS)83|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - actions posthumes, apparitions du saint
11H(CYRIACUS)84|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - béatification, canonisation du saint
11H(CYRIACUS)9|Cyriaque de Rome, diacre et martyr; attributs possibles : livre d'exorcismes, démon foulé aux pieds, dragon, jeune fille (Arthémie), palme de martyr, épée (ou hache) - portrait du saint
