0|Abstracte, non-figuratieve Kunst
11H(ALBERT THE GREAT)81|de dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - vinden, vervoer van relieken van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - finding, transportation of relics of male saint
11H(ALBERT THE GREAT)82|de dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - wonderen die plaatsvinden tijdens het hanteren van relieken van een mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - miracles occurring during handling of relics of male saint
11H(ALBERT THE GREAT)83|de dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - postume daden, verschijningen van mannelijke heiligen    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - posthumous deeds, appearances of male saints
11H(ALBERT THE GREAT)84|de Dominicaanse broeder en bisschop van Regensburg Albertus de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - zaligverklaring, heiligverklaring van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - beatification, canonization of male saint
11H(ALBERT THE GREAT)9|de Dominicaanse broeder en bisschop van Regensburg Albert de Grote (Albertus Magnus); mogelijke attributen: boek, doctoraatsmuts, pen - portret van mannelijke heilige    # the Dominican friar and bishop of Ratisbon Albert the Great (Albertus Magnus); possible attributes: book, doctor's cap, pen - portrait of male saint
11H(ALEXIS)|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase
11H(ALEXIS)0|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - mannelijke heilige afgebeeld in een groep    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - male saint represented in a group
11H(ALEXIS)1|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - specifieke aspecten ~ mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - specific aspects ~ male saint
11H(ALEXIS)11|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - mannelijke heilige als patroon, beschermer, bemiddelaar    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - male saint as patron, protector, intercessor
11H(ALEXIS)119|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - male saint protecting devotees with cloak, 'Schutzmantel'
11H(ALEXIS)12|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(ALEXIS)13|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - mannelijke heilige als stichter van Orde    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - male saint as founder of Order
11H(ALEXIS)131|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - male saint ~ confirmation of Order, approval of Rule(s)
11H(ALEXIS)2|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - vroege leven van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - early life of male saint
11H(ALEXIS)3|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - persoonlijke toewijding van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - personal devotion of male saint
11H(ALEXIS)31|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - roeping, bekering van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - vocation, conversion of male saint
11H(ALEXIS)32|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - doop, wijding, het afleggen van geloften van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - baptism, consecration, taking vows of male saint
11H(ALEXIS)33|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - renouncing worldly goods, ascetic life of male saint
11H(ALEXIS)34|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - visioen(en), mystieke huwelijk van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - vision(s), mystic marriage of male saint
11H(ALEXIS)35|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - verleiding van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - temptation of male saint
11H(ALEXIS)36|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - boetedoening van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - penitence of male saint
11H(ALEXIS)37|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - mannelijke heilige die mediteert, in extase    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - male saint meditating, in ecstasy
11H(ALEXIS)4|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - non-miraculous activities and events ~ male saint
11H(ALEXIS)5|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - miraculous activities and events ~ male saint
11H(ALEXIS)59|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - stigmatisering van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - stigmatization of male saint
11H(ALEXIS)6|martelaarschap, lijden, tegenspoed, dood van St. Alexis    # martyrdom, suffering, misfortune, death of St. Alexis
11H(ALEXIS)61|St. Alexis zit of slaapt onder de trap van het huis van zijn vader, als bedelaar of pelgrim    # St. Alexis sitting or sleeping under the stairs of his father's house, as beggar or pilgrim
11H(ALEXIS)611|de bespotting van St. Alexis: een emmer water wordt over zijn hoofd gegooid    # the mocking of St. Alexis: a bucket of water is thrown over his head
11H(ALEXIS)68|St. Alexis wordt dood gevonden onder de trap door zijn ouders en zijn verloofde (soms ook de paus aanwezig die een brief uit de vingers van Alexis trekt)    # St. Alexis is found dead under the stairs by his parents and his fiancée (sometimes also the pope present who pulls a letter out of Alexis' fingers)
11H(ALEXIS)69|martelaarschap, lijden, tegenspoed, dood van St. Alexis - mishandeling van het lichaam van mannelijke heilige    # martyrdom, suffering, misfortune, death of St. Alexis - maltreatment of corpse of male saint
11H(ALEXIS)7|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - apotheose, glorie, triomf van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - apotheosis, glory, triumph of male saint
11H(ALEXIS)8|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - post-mortem gebeurtenissen ~ mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - post-mortem occurrences ~ male saint
11H(ALEXIS)81|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - vinden, vervoer van relieken van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - finding, transportation of relics of male saint
11H(ALEXIS)82|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - miracles occurring during handling of relics of male saint
11H(ALEXIS)83|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - postume daden, verschijningen van mannelijke heiligen    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - posthumous deeds, appearances of male saints
11H(ALEXIS)84|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - zaligverklaring, heiligverklaring van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - beatification, canonization of male saint
11H(ALEXIS)9|de biechtvader Alexius van Rome (of Edessa); mogelijke attributen: trap - portret van mannelijke heilige    # the confessor Alexi(u)s of Rome (or Edessa); possible attributes: staircase - portrait of male saint
11H(ALL SAINTS)|Alle heiligen, 'allen die verlost zijn en nu in de hemel zijn'    # All Saints, 'all who are redeemed and now in Heaven'
11H(ALL SAINTS)0|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - mannelijke heilige vertegenwoordigd in een groep    # All Saints, 'all who are redeemed and now in Heaven' - male saint represented in a group
11H(ALL SAINTS)1|alle heiligen, 'allen die verlost zijn en nu in de Hemel zijn' - specifieke aspecten ~ mannelijke heilige    # All Saints, 'all who are redeemed and now in Heaven' - specific aspects ~ male saint
11H(ALL SAINTS)11|Alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - mannelijke heilige als patroon, beschermer, bemiddelaar    # All Saints, 'all who are redeemed and now in Heaven' - male saint as patron, protector, intercessor
11H(ALL SAINTS)119|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - mannelijke heilige die toegewijden beschermt met een mantel, Schutzmantel    # All Saints, 'all who are redeemed and now in Heaven' - male saint protecting devotees with cloak, 'Schutzmantel'
11H(ALL SAINTS)12|alle heiligen, 'allen die verlost zijn en nu in de Hemel zijn' - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)    # All Saints, 'all who are redeemed and now in Heaven' - male saint writing, studying, teaching, dictating (e.g. as Doctor of the Church)
11H(ALL SAINTS)13|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - mannelijke heilige als stichter van de Orde    # All Saints, 'all who are redeemed and now in Heaven' - male saint as founder of Order
11H(ALL SAINTS)131|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)    # All Saints, 'all who are redeemed and now in Heaven' - male saint ~ confirmation of Order, approval of Rule(s)
11H(ALL SAINTS)2|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - vroege leven van mannelijke heilige    # All Saints, 'all who are redeemed and now in Heaven' - early life of male saint
11H(ALL SAINTS)3|toewijding: Allerheiligenbeeld, 'Allerheiligenbild'    # devotion: All Saints picture, 'Allerheiligenbild'
11H(ALL SAINTS)31|toewijding: Allerheiligen afbeelding, 'Allerheiligenbild' - roeping, bekering van mannelijke heilige    # devotion: All Saints picture, 'Allerheiligenbild' - vocation, conversion of male saint
11H(ALL SAINTS)32|toewijding: afbeelding van alle heiligen, 'Allerheiligenbild' - doop, wijding, het afleggen van geloften van mannelijke heilige    # devotion: All Saints picture, 'Allerheiligenbild' - baptism, consecration, taking vows of male saint
11H(ALL SAINTS)33|toewijding: afbeelding van alle heiligen, 'Allerheiligenbild' - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige    # devotion: All Saints picture, 'Allerheiligenbild' - renouncing worldly goods, ascetic life of male saint
11H(ALL SAINTS)34|toewijding: Allerheiligen afbeelding, 'Allerheiligenbild' - visie(s), mystieke huwelijk van mannelijke heilige    # devotion: All Saints picture, 'Allerheiligenbild' - vision(s), mystic marriage of male saint
11H(ALL SAINTS)35|toewijding: Allerheiligen afbeelding, 'Allerheiligenbild' - verleiding van mannelijke heilige    # devotion: All Saints picture, 'Allerheiligenbild' - temptation of male saint
11H(ALL SAINTS)36|toewijding: afbeelding van alle heiligen, 'Allerheiligenbild' - boetedoening van mannelijke heilige    # devotion: All Saints picture, 'Allerheiligenbild' - penitence of male saint
11H(ALL SAINTS)37|toewijding: afbeelding van alle heiligen, 'Allerheiligenbild' - mannelijke heilige die mediteert, in extase    # devotion: All Saints picture, 'Allerheiligenbild' - male saint meditating, in ecstasy
11H(ALL SAINTS)4|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige    # All Saints, 'all who are redeemed and now in Heaven' - non-miraculous activities and events ~ male saint
11H(ALL SAINTS)5|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige    # All Saints, 'all who are redeemed and now in Heaven' - miraculous activities and events ~ male saint
11H(ALL SAINTS)59|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - stigmatisering van mannelijke heilige    # All Saints, 'all who are redeemed and now in Heaven' - stigmatization of male saint
11H(ALL SAINTS)6|alle heiligen, 'allen die verlost zijn en nu in de hemel zijn' - martelaarschap, lijden, tegenspoed, dood van mannelijke heilige    # All Saints, 'all who are redeemed and now in Heaven' - martyrdom, suffering, misfortune, death of male saint
