0|Abstracte, non-representatieve kunst
11H(CROWNED MARTYRS, FOUR)|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijvoorbeeld beitel, passer, hamer, winkelhaak
11H(CROWNED MARTYRS, FOUR)0|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - mannelijke heilige afgebeeld in een groep
11H(CROWNED MARTYRS, FOUR)1|specifieke aspecten ~ de Vier Gekroonde Martelaren
11H(CROWNED MARTYRS, FOUR)11|De vier gekroonde martelaren als beschermheiligen van steenhouwers en beeldhouwers
11H(CROWNED MARTYRS, FOUR)119|de Vier Gekroonde Martelaren als beschermheiligen van steenhouwers en beeldhouwers - mannelijke heilige die toegewijden beschermt met een mantel, 'Schutzmantel'
11H(CROWNED MARTYRS, FOUR)12|Specifieke aspecten ~ de Vier Gekroonde Martelaren - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(CROWNED MARTYRS, FOUR)13|Specifieke aspecten ~ de Vier Gekroonde Martelaren - mannelijke heilige als stichter van de Orde
11H(CROWNED MARTYRS, FOUR)131|Specifieke aspecten ~ de Vier Gekroonde Martelaren - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(CROWNED MARTYRS, FOUR)2|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - vroege leven van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)3|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - persoonlijke toewijding van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)31|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - roeping, bekering van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)32|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijvoorbeeld beitel, passer, hamer, winkelhaak - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)33|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijvoorbeeld beitel, passer, hamer, winkelhaak - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)34|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - visie(s), mystieke huwelijk van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)35|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - verleiding van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)36|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - boetedoening van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)37|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - mannelijke heilige mediterend, in extase
11H(CROWNED MARTYRS, FOUR)4|niet-miraculeuze activiteiten en gebeurtenissen ~ de Vier Gekroonde Martelaren
11H(CROWNED MARTYRS, FOUR)41|de keizer Diocletianus bezoekt de Vier Gekroonde Martelaren in hun werkplaats; ze weigeren een standbeeld van Asclepius te maken
11H(CROWNED MARTYRS, FOUR)5|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de 'quattuor coronati'; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige
11H(CROWNED MARTYRS, FOUR)59|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - stigmatisering van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)6|martelaarschap, lijden, tegenspoed, dood van de Vier Gekroonde Martelaren
11H(CROWNED MARTYRS, FOUR)61|de vier gekroonde martelaren worden voor keizer Diocletianus gebracht en weigeren een standbeeld van Asclepius te aanbidden
11H(CROWNED MARTYRS, FOUR)68|dood van de Vier Gekroonde Martelaren
11H(CROWNED MARTYRS, FOUR)681|de Vier Gekroonde Martelaren worden doodgeslagen met loden zwepen
11H(CROWNED MARTYRS, FOUR)682|De vier gekroonde martelaren worden opgesloten in loden kisten en in het water gegooid.
11H(CROWNED MARTYRS, FOUR)69|de lichamen van de Vier Gekroonde Martelaren worden naar de honden gegooid
11H(CROWNED MARTYRS, FOUR)7|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijvoorbeeld beitel, passer, hamer, winkelhaak - apotheose, glorie, triomf van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)8|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - postume gebeurtenissen ~ mannelijke heilige
11H(CROWNED MARTYRS, FOUR)81|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - vinden, vervoer van relieken van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)82|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)83|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - postume daden, verschijningen van mannelijke heiligen
11H(CROWNED MARTYRS, FOUR)84|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijvoorbeeld beitel, passer, hamer, winkelhaak - zaligverklaring, heiligverklaring van mannelijke heilige
11H(CROWNED MARTYRS, FOUR)9|de Vier Gekroonde Martelaren, soldaten, beeldhouwers, steenhouwers, de quattuor coronati; mogelijke attributen: kroon, beeldhouwersgereedschap, bijv. beitel, passer, hamer, winkelhaak - portret van mannelijke heilige
11H(CYRIACUS)|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl)
11H(CYRIACUS)0|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - mannelijke heilige afgebeeld in een groep
11H(CYRIACUS)1|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - specifieke aspecten ~ mannelijke heilige
11H(CYRIACUS)11|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(CYRIACUS)119|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'
11H(CYRIACUS)12|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(CYRIACUS)13|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder de voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - mannelijke heilige als stichter van de Orde
11H(CYRIACUS)131|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder de voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(CYRIACUS)2|De diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder de voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - vroege leven van mannelijke heilige
11H(CYRIACUS)3|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - persoonlijke devotie van mannelijke heilige
11H(CYRIACUS)31|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder de voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - roeping, bekering van mannelijke heilige
11H(CYRIACUS)32|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(CYRIACUS)33|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder de voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(CYRIACUS)34|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palm-tak, zwaard (of bijl) - visioen(en), mystieke huwelijk van mannelijke heilige
11H(CYRIACUS)35|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - verleiding van mannelijke heilige
11H(CYRIACUS)36|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - boetedoening van mannelijke heilige
11H(CYRIACUS)37|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder de voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - mannelijke heilige die mediteert, in extase
11H(CYRIACUS)4|De diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(CYRIACUS)5|Wonderbaarlijke activiteiten en gebeurtenissen ~ St. Cyriacus
11H(CYRIACUS)51|St. Cyriacus van Rome als duiveluitdrijver: hij bevrijdt de dochter van keizer Diocletianus, Artemia, van de bezetenheid door een duivel; hij leest uit zijn boek en wikkelt zijn stola om haar nek.
11H(CYRIACUS)59|wonderbaarlijke activiteiten en gebeurtenissen ~ St. Cyriacus - stigmatisering van mannelijke heilige
11H(CYRIACUS)6|martelaarschap, lijden, tegenspoed, dood van St. Cyriacus
11H(CYRIACUS)68|St. Cyriacus van Rome wordt onthoofd
11H(CYRIACUS)69|martelaarschap, lijden, tegenspoed, dood van St. Cyriacus - mishandeling van het lichaam van mannelijke heilige
11H(CYRIACUS)7|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - apotheose, glorie, triomf van mannelijke heilige
11H(CYRIACUS)8|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - post-mortem gebeurtenissen ~ mannelijke heilige
11H(CYRIACUS)81|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - vinden, transport van relieken van mannelijke heilige
11H(CYRIACUS)82|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder de voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - wonderen die plaatsvinden tijdens het hanteren van relieken van mannelijke heilige
11H(CYRIACUS)83|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - postume daden, verschijningen van mannelijke heiligen
11H(CYRIACUS)84|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmblad, zwaard (of bijl) - zaligverklaring, heiligverklaring van mannelijke heilige
11H(CYRIACUS)9|de diaken Cyriacus van Rome; mogelijke attributen: boek van exorcisme, demon onder voeten, draak, meisje (Artemia), palmtak, zwaard (of bijl) - portret van mannelijke heilige
11H(CYRICUS & JULITTA)|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag
11H(CYRICUS & JULITTA)0|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - mannelijke heilige afgebeeld in een groep
11H(CYRICUS & JULITTA)1|Specifieke aspecten ~ St. Cyricus & Julitta
11H(CYRICUS & JULITTA)11|St. Cyr(icus) gezeten op een wild zwijn
11H(CYRICUS & JULITTA)119|St. Cyr(icus) gezeten op een wild zwijn - mannelijke heilige beschermt toegewijden met mantel, 'Schutzmantel'
11H(CYRICUS & JULITTA)12|Specifieke aspecten ~ St. Cyricus & Julitta - mannelijke heilige die schrijft, studeert, onderwijst, dicteert (bijv. als Kerkleraar)
11H(CYRICUS & JULITTA)13|Specifieke aspecten ~ St. Cyricus & Julitta - mannelijke heilige als stichter van de Orde
11H(CYRICUS & JULITTA)131|Specifieke aspecten ~ St. Cyricus & Julitta - mannelijke heilige ~ bevestiging van Orde, goedkeuring van Regel(s)
11H(CYRICUS & JULITTA)2|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - vroege leven van mannelijke heilige
11H(CYRICUS & JULITTA)3|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - persoonlijke toewijding van mannelijke heilige
11H(CYRICUS & JULITTA)31|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - roeping, bekering van mannelijke heilige
11H(CYRICUS & JULITTA)32|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: spijkers, palmblad, zaag - doop, wijding, het afleggen van geloften van mannelijke heilige
11H(CYRICUS & JULITTA)33|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - afstand doen van wereldse goederen, ascetisch leven van mannelijke heilige
11H(CYRICUS & JULITTA)34|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - visie(s), mystieke huwelijk van mannelijke heilige
11H(CYRICUS & JULITTA)35|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - verleiding van mannelijke heilige
11H(CYRICUS & JULITTA)36|De martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - boetedoening van mannelijke heilige
11H(CYRICUS & JULITTA)37|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - mannelijke heilige die mediteert, in extase
11H(CYRICUS & JULITTA)4|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: spijkers, palmblad, zaag - niet-miraculeuze activiteiten en gebeurtenissen ~ mannelijke heilige
11H(CYRICUS & JULITTA)5|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - wonderbaarlijke activiteiten en gebeurtenissen ~ mannelijke heilige
11H(CYRICUS & JULITTA)59|de martelaren Cyricus (Quiricus, Cyr) en Julitta van Tarsus; mogelijke attributen van St. Cyricus, zoon: nagels, palmblad, zaag - stigmatisering van mannelijke heilige
